row_id,trip_id,station_name,event_type,scheduled_time,actual_time,delay_seconds,day_of_week,hour_of_day,service_date,punctuality_status,delay_bucket,peak_status,day_type
94,1|64484|2|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:14:00,2025-01-24 04:12:00,-120.0,5,4,2025-01-24,early,1_to_5min_early,off_peak,weekday
95,1|64484|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:14:00,2025-01-24 04:16:00,120.0,5,4,2025-01-24,late,1_to_5min_late,off_peak,weekday
96,1|64470|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:14:00,2025-01-24 04:07:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
97,1|64470|0|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:14:00,2025-01-24 04:07:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
98,1|64484|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:14:00,2025-01-24 04:16:00,120.0,5,4,2025-01-24,late,1_to_5min_late,off_peak,weekday
99,1|64484|3|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:24:00,2025-01-24 04:24:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
100,1|64470|0|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:24:00,2025-01-24 04:17:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
101,1|64470|0|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:24:00,2025-01-24 04:17:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
102,1|64484|3|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:24:00,2025-01-24 04:24:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
103,1|64484|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:24:00,2025-01-24 04:22:00,-120.0,5,4,2025-01-24,early,1_to_5min_early,off_peak,weekday
104,1|64470|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:24:00,2025-01-24 04:24:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
105,1|64484|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:24:00,2025-01-24 04:22:00,-120.0,5,4,2025-01-24,early,1_to_5min_early,off_peak,weekday
106,1|64470|1|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:24:00,2025-01-24 04:24:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
107,1|64484|4|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:34:00,2025-01-24 04:35:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
108,1|64470|1|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:34:00,2025-01-24 04:33:00,-60.0,5,4,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
109,1|64484|4|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:34:00,2025-01-24 04:35:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
110,1|64470|1|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:34:00,2025-01-24 04:33:00,-60.0,5,4,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
111,1|64470|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:34:00,2025-01-24 04:33:00,-60.0,5,4,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
112,1|64484|3|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:34:00,2025-01-24 04:34:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
113,1|64484|3|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:34:00,2025-01-24 04:34:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
114,1|64470|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:34:00,2025-01-24 04:33:00,-60.0,5,4,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
115,1|64470|2|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:44:00,2025-01-24 04:43:00,-60.0,5,4,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
116,1|64484|5|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:44:00,2025-01-24 04:45:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
117,1|64470|2|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:44:00,2025-01-24 04:43:00,-60.0,5,4,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
118,1|64484|5|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:44:00,2025-01-24 04:45:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
